"Composed name","River basin","Identifier","Names","genus","subfamily","family","suborder","order","subclass","class","subphylum","phylum","kingdom","superkingdom","Cluster"
"LGC_SF0602 Trachelyopterus galeatus","SF","0602","Trachelyopterus galeatus","Trachelyopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
"LGC_SF0664 Prochilodus costatus","SF","0664","Prochilodus costatus","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_SF0671 Pseudopimelodus sp","SF","0671","Pseudopimelodus sp","Pseudopimelodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
"LGC_SF0708 Franciscodoras marmoratus","SF","0708","Franciscodoras marmoratus","Franciscodoras","subfamily of Doradidae","Doradidae","Siluroidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",127
"LGC_SF0739 Prochilodus argenteus","SF","0739","Prochilodus argenteus","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_SF0742 Prochilodus argenteus","SF","0742","Prochilodus argenteus","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_SF0749 Pimelodus maculatus","SF","0749","Pimelodus maculatus","Pimelodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"LGC_SF0763 Myleus micans","SF","0763","Myleus micans","Myleus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
"LGC_SF0772 Leporinus elongatus","SF","0772","Leporinus elongatus","Leporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"LGC_SF0779 Prochilodus argenteus","SF","0779","Prochilodus argenteus","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_SF0861 Pterygoplichthys etentaculatus","SF","0861","Pterygoplichthys etentaculatus","Pterygoplichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
"LGC_SF0872 Serrasalmus brandtii","SF","0872","Serrasalmus brandtii","Serrasalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"LGC_SF0900 Curimatella lepidura","SF","0900","Curimatella lepidura","Curimatella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"LGC_SF0901 Tetragonopterus chalceus","SF","0901","Tetragonopterus chalceus","Tetragonopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
"LGC_SF0907 Curimatella lepidura","SF","0907","Curimatella lepidura","Curimatella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"LGC_SF0916 Roeboides xenodon","SF","0916","Roeboides xenodon","Roeboides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"LGC_SF0917 Acestrorhynchus lacustris","SF","0917","Acestrorhynchus lacustris","Acestrorhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"LGC_SF0925 Hypostomus alatus","SF","0925","Hypostomus alatus","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_SF0953 Schizodon knerii","SF","0953","Schizodon knerii","Schizodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
"LGC_SF0958 Leporinus piau","SF","0958","Leporinus piau","Leporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
"LGC_SF0982 Leporinus macrocephalus","SF","0982","Leporinus macrocephalus","Leporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
"LGC_SF0984 Tetragonopterus chalceus","SF","0984","Tetragonopterus chalceus","Tetragonopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
"LGC_SF0985 Leporinus taeniatus","SF","0985","Leporinus taeniatus","Leporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
"LGC_SF0986 Leporinus piau","SF","0986","Leporinus piau","Leporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
"LGC_SF1003 Schizodon knerii","SF","1003","Schizodon knerii","Schizodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
"LGC_SF1005 Brycon orthotaenia","SF","1005","Brycon orthotaenia","Brycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
"LGC_SF1030 Pterygoplichthys etentaculatus","SF","1030","Pterygoplichthys etentaculatus","Pterygoplichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_SF1032 Leporinus elongatus","SF","1032","Leporinus elongatus","Leporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"LGC_SF1033 Leporinus elongatus","SF","1033","Leporinus elongatus","Leporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"LGC_SF1037 Brycon orthotaenia","SF","1037","Brycon orthotaenia","Brycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
"LGC_SF1041 Hypostomus alatus","SF","1041","Hypostomus alatus","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_SF1044 Astyanax cf fasciatus","SF","1044","Astyanax cf fasciatus","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"LGC_SF1048 Astyanax cf fasciatus","SF","1048","Astyanax cf fasciatus","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"LGC_SF1054 Cyphocharax gilbert","SF","1054","Cyphocharax gilbert","Cyphocharax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"LGC_SF1056 Cyphocharax gilbert","SF","1056","Cyphocharax gilbert","Cyphocharax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"LGC_SF1060 Characidium zebra","SF","1060","Characidium zebra","Characidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
"LGC_SF1072 Orthospinus franciscensis","SF","1072","Orthospinus franciscensis","Orthospinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"LGC_SF1074 Moenkhausia costae","SF","1074","Moenkhausia costae","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"LGC_SF1076 Odontostilbe sp","SF","1076","Odontostilbe sp","Odontostilbe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"LGC_SF1077 Odontostilbe sp","SF","1077","Odontostilbe sp","Odontostilbe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"LGC_SF1086 Serrapinnus piaba","SF","1086","Serrapinnus piaba","Serrapinnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"LGC_SF1087 Serrapinnus piaba","SF","1087","Serrapinnus piaba","Serrapinnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"LGC_SF1098 Pamphorichthys hollandi","SF","1098","Pamphorichthys hollandi","Pamphorichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"LGC_SF1099 Pamphorichthys hollandi","SF","1099","Pamphorichthys hollandi","Pamphorichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"LGC_SF1102 Microglanis leptostriatus","SF","1102","Microglanis leptostriatus","Microglanis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
"LGC_SF1104 Microglanis leptostriatus","SF","1104","Microglanis leptostriatus","Microglanis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
"LGC_SF1108 Hisonotus sp","SF","1108","Hisonotus sp","Hisonotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
"LGC_SF1109 Hisonotus sp","SF","1109","Hisonotus sp","Hisonotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
"LGC_SF1111 Moenkhausia sanctaefilomenae","SF","1111","Moenkhausia sanctaefilomenae","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"LGC_SF1112 Moenkhausia sanctaefilomenae","SF","1112","Moenkhausia sanctaefilomenae","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"LGC_SF1113 Moenkhausia sanctaefilomenae","SF","1113","Moenkhausia sanctaefilomenae","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
